時間,左肩,右肩,左ひじ,右ひじ,左手首,右手首,左股関節,右股関節,左ひざ,右ひざ,左足首,右足首
0.0,27.0,19.0,169.0,175.0,179.0,173.0,176.0,171.0,162.0,170.0,115.0,126.0
0.0435,25.0,18.0,169.0,175.0,175.0,173.0,179.0,170.0,154.0,168.0,115.0,131.0
0.087,23.0,18.0,170.0,173.0,177.0,175.0,180.0,170.0,149.0,167.0,123.0,129.0
0.13049999,18.0,18.0,175.0,171.0,176.0,170.0,174.0,175.0,142.0,161.0,100.0,131.0
0.174,15.0,17.0,175.0,170.0,172.0,166.0,171.0,178.0,145.0,164.0,113.0,123.0
0.2175,10.0,16.0,173.0,169.0,176.0,166.0,168.0,180.0,134.0,169.0,117.0,129.0
0.26099998,6.0,15.0,175.0,167.0,177.0,174.0,165.0,177.0,132.0,174.0,124.0,136.0
0.30449998,2.0,13.0,171.0,167.0,176.0,169.0,161.0,174.0,144.0,175.0,119.0,127.0
0.348,6.0,8.0,178.0,171.0,169.0,167.0,158.0,171.0,162.0,177.0,130.0,128.0
0.3915,6.0,0.0,174.0,176.0,174.0,165.0,158.0,169.0,169.0,178.0,137.0,121.0
0.435,7.0,0.0,174.0,176.0,174.0,165.0,158.0,169.0,170.0,178.0,137.0,121.0
0.47849998,6.0,1.0,175.0,173.0,170.0,162.0,158.0,164.0,177.0,180.0,124.0,125.0
0.52199996,5.0,2.0,174.0,169.0,166.0,166.0,159.0,158.0,176.0,174.0,122.0,116.0
0.56549996,8.0,4.0,170.0,166.0,180.0,171.0,163.0,159.0,175.0,163.0,134.0,115.0
0.60899997,8.0,4.0,170.0,166.0,180.0,170.0,163.0,159.0,176.0,162.0,134.0,115.0
0.6525,3.0,7.0,174.0,165.0,177.0,170.0,171.0,170.0,177.0,131.0,148.0,120.0
0.696,5.0,11.0,172.0,159.0,174.0,171.0,175.0,171.0,179.0,124.0,142.0,126.0
0.7395,2.0,14.0,177.0,164.0,168.0,171.0,176.0,177.0,175.0,113.0,153.0,88.0
0.783,8.0,15.0,176.0,164.0,179.0,171.0,174.0,177.0,150.0,124.0,116.0,97.0
0.8265,8.0,15.0,176.0,164.0,179.0,171.0,174.0,177.0,149.0,124.0,113.0,98.0
0.87,24.0,17.0,170.0,166.0,180.0,178.0,176.0,173.0,172.0,155.0,124.0,125.0
0.91349995,24.0,17.0,170.0,167.0,180.0,178.0,174.0,173.0,167.0,155.0,121.0,125.0
0.95699996,27.0,21.0,167.0,165.0,179.0,172.0,177.0,164.0,166.0,154.0,111.0,129.0
1.0005,32.0,19.0,168.0,171.0,177.0,170.0,179.0,161.0,171.0,171.0,110.0,134.0
1.0439999,35.0,19.0,169.0,171.0,173.0,174.0,179.0,160.0,172.0,176.0,107.0,127.0
1.0875,36.0,20.0,169.0,174.0,174.0,176.0,175.0,161.0,171.0,175.0,111.0,120.0
1.1309999,34.0,21.0,172.0,178.0,174.0,174.0,169.0,162.0,163.0,166.0,115.0,131.0
1.1745,33.0,21.0,172.0,177.0,174.0,174.0,169.0,163.0,163.0,167.0,115.0,131.0
1.2179999,33.0,21.0,172.0,178.0,174.0,174.0,169.0,162.0,164.0,166.0,115.0,131.0
